,Title,Type,Company,CTC,Location,Exp
57,Business Analyst,No data,Pona Lab Biogrowth Private Limited,"₹ 2,00,000 - 2,50,000",Bangalore,0-3 years
58,Big Data Executive,Fresher  Job,Exela Technologies,"₹ 3,00,000 - 5,00,000",Work from home,0 years
59,Business Analyst,No data,Volody Products Private Limited,"₹ 5,00,000 - 5,50,000",Mumbai,2-4 years
60,Business Analyst,Fresher  Job,Money Honey Financial Services Private Limited,"₹ 5,00,000 - 12,00,000",Mumbai,0-1 years
61,Big Data Executive,Fresher  Job,Nexgen Technologies,"₹ 4,00,000 - 7,00,000",Work from home,0-1 years
62,Business Planning Analyst (Management Trainee),Fresher  Job,Birla Open Minds Education Private Limited,"₹ 3,60,000 - 4,00,000",Mumbai,0-1 years
63,Data Analytics Associate,Fresher  Job,Rapidious,"₹ 4,00,000 - 7,00,000",Bangalore,0-2 years
64,Artificial Intelligence (AI) Associate,No data,Quanint Techsoft Private Limited,"₹ 2,80,000 - 3,60,000",Hyderabad,1 year
65,Artificial Intelligence (AI) Associate,Fresher  Job,Urbano InfoTech Private Limited,"₹ 3,20,000 - 4,20,000",Ahmedabad,0 years
66,Assistant Manager - Data Analyst,No data,CyberFrat,"₹ 3,00,000 - 4,00,000",Mumbai,1-2 years
67,Sales Data Analyst,Fresher  Job,DeepThought Edutech Ventures Private Limited,"₹ 2,40,000 - 3,00,000",Work from home,0 years
68,Analyst - Security,Fresher  Job,QRC Assurance And Solutions Private Limited,"₹ 3,00,000 - 4,50,000",Chennai,0-2 years
69,Business Analyst,No data,Integrass Solutions India Private Limited,"₹ 2,00,000 - 3,50,000",Tiruchirappalli,1-2 years
70,Data Science And Data Analytics Faculty,Fresher  Job,CB Tech Software And Accounting Trainng Institute,"₹ 2,16,000 - 3,20,000",Kochi,0-2 years
71,Big Data Executive,Fresher  Job,Flexisoft Solutions,"₹ 4,00,000 - 7,00,000",Work from home,0-1 years
72,Big Data Executive,Fresher  Job,Softwave Technologies,"₹ 4,00,000 - 7,00,000",Work from home,0-1 years
73,Research Associate - Content Writer For Computer Science And Engineering,No data,Megaminds IT Services,"₹ 2,00,000 - 2,50,000",Hyderabad,0-5 years
74,Python Developer,Fresher  Job,Megaminds IT Services,"₹ 2,00,000 - 2,50,000",Hyderabad,0-1 years
75,Assistant Trainer (Data Structure And Algorithms),Fresher  Job,Zenith Consultants,"₹ 3,00,000 - 9,00,000",Noida,0 years
76,Business Analyst,Fresher  Job,DeepThought Edutech Ventures Private Limited,"₹ 2,40,000 - 3,00,000",Work from home,0 years
77,Data Analytics Associate,Fresher  Job,DeepThought Edutech Ventures Private Limited,"₹ 2,40,000 - 3,00,000",Work from home,0 years
78,Data Scientist,Fresher  Job,Buddha Education Association Incorporation,"₹ 6,00,000 - 8,50,000",Work from home,0-1 years
79,Junior Machine Learning Executive,Fresher  Job,Arch Store,"₹ 2,00,000 - 2,40,000",Mumbai,0-1 years
80,Data Analyst (Focus Hadoop),No data,Intellioz,"₹ 6,00,000 - 13,00,000",Pune,4-5 years
81,Artificial Intelligence (AI) Executive,Fresher  Job,Buddha Education Association Incorporation,"₹ 8,00,000 - 12,00,000",Work from home,0-1 years
82,Senior Graph Analytics Engineer,International,"ContexQ Pte Ltd (Singapore, Singapore)","₹ 15,00,000 - 20,00,000",Work from home,4-5 years
83,Data Champion,Fresher  Job,DeepThought Edutech Ventures Private Limited,"₹ 2,40,000 - 3,00,000",Work from home,0 years
84,Business Analyst,Fresher  Job,ATechno HUB,"₹ 2,00,000 - 3,00,000",Zirakpur,0-1 years
85,Associate Content Writer,Fresher  Job,Creative Dugout,"₹ 2,16,000 - 3,00,000",Gurgaon,0-1 years
86,Senior Python Developer,No data,Prsti Technologies,"₹ 5,00,000 - 7,00,000",Hyderabad,4-5 years
87,Data Insights And Innovation Executive,No data,Pepagora Digital,"₹ 2,00,000 - 3,00,000",Coimbatore,1-3 years
88,Associate Business Analyst,No data,Job Adda,"₹ 2,00,000 - 2,40,000",Work from home,1-5 years
89,Junior Machine Learning Specialist,No data,Warewe Consultancy Private Limited,"₹ 4,00,000 - 6,00,000",Gurgaon,1-4 years
90,Business Analyst,Fresher  Job,Bakerstreet Fintech Private Limited,"₹ 2,00,000 - 3,00,000",Pune,0-1 years
91,Behavioral Data Scientist,Fresher  Job,DeepThought Edutech Ventures Private Limited,"₹ 2,40,000 - 3,00,000",Hyderabad,0 years
